point_id,year,n_obs,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,ndvi_slope,ndvi_drop
"102054,180122",2022,37,0.30613271794594593,0.43428677,0.122684374,0.07760608970460582,0.0008623965146145392,0.15643786999999998
"102054,180122",2023,32,0.298501250625,0.38408569,0.13937548,0.06696149396484734,0.000743602575936223,0.018299889999999985
"102054,180122",2024,31,0.29933959999999993,0.3825732,0.20396185,0.04846520424582795,0.0004355085938926387,0.027208579999999982
"102054,180123",2022,36,0.36014700138888883,0.51540565,0.13642757,0.09984377696697985,0.001068742959496051,0.20762121000000006
"102054,180123",2023,32,0.364664251875,0.45538285,0.23365891,0.057459327803361285,0.0005957683620077697,0.06096425
"102054,180123",2024,30,0.33527006,0.39904472,0.27485824,0.03583598539100132,0.00028425372540208317,0.0
"102054,180124",2022,36,0.3556764638888889,0.51332957,0.14265537,0.09720308858112907,0.001001846417450169,0.21328202000000002
"102054,180124",2023,33,0.3627992242424242,0.45957366,0.2469697,0.05232070550399654,0.0005613179776549177,0.10042372999999999
"102054,180124",2024,30,0.3286490266666667,0.40056023,0.26740062,0.03650597457923277,0.00033103736013162386,0.009748130000000022
"102054,180125",2022,36,0.3531373563888889,0.5017754,0.14565827,0.09145900830536566,0.0008629817802181268,0.21260462999999996
"102054,180125",2023,32,0.3430825575,0.43416104,0.25195497,0.04410396371607099,0.0004420721207708132,0.08501154
"102054,180125",2024,29,0.33269961655172414,0.40133578,0.2594534,0.03524324426928189,0.0002840593049985492,0.03169253999999999
"102054,180126",2022,36,0.29390934972222227,0.41497463,0.17416452,0.05986061389388776,0.0005954836151560736,0.16746566000000002
"102054,180126",2023,32,0.29569428000000003,0.37715378,0.2231405,0.03637689818712283,0.0003215538976413539,0.09756418
"102054,180126",2024,29,0.2738048244827586,0.3414758,0.21973094,0.03173051425434303,-0.00016138220244658644,0.06702570000000002
"102054,180127",2022,36,0.29908219333333336,0.40422887,0.20338982,0.05087306926043899,0.000444427463444904,0.16205542
